,Store,Year,Dry_Grocery,Dairy,Frozen_Food,Meat,Produce,Floral,Deli,Bakery,General_Merchandise,Total_Sales,Segment,State,Zip,Type,Address_City,Location,latitude,longitude,altitude
0,S0001,2015,0.46134725619100525,0.10308371113511718,0.07719924550832115,0.10767740754442728,0.09717103937755388,0.006769432845628125,0.04354992809286249,0.03554387620771675,0.06765810309736807,23508945.819999997,2,CA,92027,Existing,"1000 W El Norte Pkwy, Escondido","Vons, 1000, West El Norte Parkway, Escondido, San Diego County, California, 92027, United States",33.148780849999994,-117.10638909533706,0.0
1,S0002,2015,0.457527949083223,0.10638761482782284,0.07884092953301541,0.11490345386333736,0.10125939844897328,0.0074380588209239824,0.039792417550009146,0.029701527508053643,0.06414865036464137,17334619.57,2,CA,92040,Existing,"12419 Woodside Ave, Lakeside","Vons 2366, 12419, Woodside Avenue, Riverview, Lakeside, San Diego County, California, 92040, United States",32.8560043,-116.92431909997273,0.0
2,S0003,2015,0.42134909097603385,0.1023562771550293,0.06902749518811045,0.11471273747734514,0.12539881009397175,0.009631392662512278,0.041760801083574425,0.03610802039853096,0.07965537496489176,30240661.990000002,1,CA,90026,Existing,"1342 N Alvarado St, Los Angeles","1342, North Alvarado Street, Echo Park, Los Angeles, California, 90026, United States",34.07966485714286,-118.26209714285714,0.0
3,S0004,2015,0.4545598427548777,0.09711101841421285,0.0802771438209139,0.12772765516035833,0.10040921500382288,0.006119628402345945,0.04178524488949095,0.034468710257343244,0.057541541296634226,27913890.97,2,CA,92078,Existing,"671 S Rancho Santa Fe Rd, San Marcos","671, South Rancho Santa Fe Road, Palomar West Mobile Home Park, San Marcos, San Diego County, California, 92078, United States",33.13230395,-117.2053210040022,0.0
4,S0005,2015,0.4401687513264201,0.10626808871187157,0.0863385221704154,0.10186326152142094,0.1311120514800841,0.008877250431158506,0.035389214344651365,0.022606860969560272,0.06737599904441785,27825886.169999998,1,CA,90019,Existing,"1430 S Fairfax Ave, Los Angeles","Vons 2268, 1430, South Fairfax Avenue, Mid-City, Los Angeles, Los Angeles County, California, 90019, United States",34.0504672,-118.3662441022168,0.0
5,S0006,2015,0.4598351540557029,0.09860922045739744,0.07444313499257114,0.10691591313500763,0.10178202896743592,0.008265039176692036,0.04630886989129037,0.03541688993771933,0.06842374938618329,34625420.87,2,CA,92071,Existing,"9643 Mission Gorge Rd, Santee","Vons, 9643, Mission Gorge Road, Santee, San Diego County, California, 92071, United States",32.83720975,-116.98698539845385,0.0
6,S0007,2015,0.44208679782917026,0.10213495780050011,0.08916985207465948,0.11513459312441028,0.10344684308253024,0.007838333785927394,0.04629765893631203,0.03017637220299203,0.06371459116349822,30863087.31,2,CA,93010,Existing,"820 Arneill Rd, Camarillo","Vons, 820, Arneill Road, Camarillo, Ventura County, California, 93010, United States",34.2248698,-119.03708267202532,0.0
7,S0008,2015,0.42845685434060715,0.10873213326243514,0.08032146381500906,0.10687772907646381,0.12369635501380177,0.007858795999693066,0.03262265753622492,0.02239774151464815,0.08903626944111695,29181879.77,1,CA,90020,Existing,"3461 W 3rd St, Los Angeles","West 3rd Street, Bunker Hill, Downtown, Los Angeles, California, 90071, United States",34.0517476,-118.2492268,0.0
8,S0009,2015,0.44225226895361236,0.1003761186806092,0.07705136300381078,0.11890801219752577,0.10350748938662813,0.0072882560357416405,0.044203936522349566,0.025756341095532105,0.08065621412419038,40678620.31,2,CA,93536,Existing,"4033 W Avenue L, Lancaster","Vons 2029, 4033, West Avenue L, Lancaster, Los Angeles County, California, 93536, United States",34.66169395,-118.18239620544162,0.0
9,S0010,2015,0.4314453516536987,0.11496155056377877,0.08034174230392724,0.10714830085790018,0.1216288358220014,0.010383022315317177,0.03709895027057433,0.038051366804839934,0.058940879407962214,21703928.12,1,CA,93108,Existing,"1040 Coast Village Rd, Montecito","Montecito Country Mart, 1014, Coast Village Road, Santa Barbara, Santa Barbara County, California, 93108, United States",34.422564449999996,-119.65166187517394,0.0
10,S0011,2015,0.4537933809199707,0.09398428355913858,0.07188150744268615,0.12144254940253947,0.09846672430654935,0.007896395661083045,0.04871678336237514,0.032440844706326806,0.07137753063933068,22395673.62,2,CA,91752,Existing,"3251 De Forest Cir Ste A, Mira Loma",,,,
11,S0012,2015,0.4659987686351062,0.0972651219234045,0.07435735825240371,0.11439061785477496,0.09431474349332847,0.006825037139992122,0.04506609245284006,0.018591681158939017,0.08319057908921111,49186541.129999995,0,CA,93436,Existing,"1124 W Ocean Ave, Lompoc","Dollar General, 1124, West Ocean Avenue, Lompoc Village, Lompoc, Santa Barbara County, California, 93436, United States",34.6379865,-120.47179365456965,0.0
12,S0013,2015,0.4455491982165768,0.09072232031595909,0.07535239695284472,0.11404829650988593,0.09266137003250871,0.00791171794016964,0.046276595765458166,0.03428059929676683,0.09319750496983016,39169150.41,0,CA,92506,Existing,"3520 Riverside Plaza Dr, Riverside","Vons, 3520, Riverside Plaza, Riverside, Riverside County, California, 92506, United States",33.954690400000004,-117.38951854964793,0.0
13,S0014,2015,0.4443732748377763,0.09776808037210676,0.07718514054409943,0.09869682584508034,0.10684908170965128,0.010659684666936,0.03492663855549726,0.020548902740350598,0.1089923707285019,30987962.620000005,0,CA,92620,Existing,"3901 Portola Pkwy, Irvine","Pavilions 2822, 3901, Portola Parkway, Orchard Hills, Irvine, Orange County, California, 92620, United States",33.735006600000006,-117.76068036436737,0.0
14,S0015,2015,0.44796799889074407,0.09876554572046768,0.07786880362814882,0.09998999736510043,0.10497471380768177,0.007685474179413522,0.034977142912695124,0.025105510094482957,0.10266481340126574,37353757.66,0,CA,92131,Existing,"10675 Scripps Poway Pkwy, San Diego","10675, Scripps Poway Parkway, San Diego, San Diego County, California, 92131, United States",32.9370799633804,-117.09848835987133,0.0
15,S0016,2015,0.4772396197432076,0.0914353402378919,0.07806357741187711,0.11008716271195713,0.08846903429077456,0.006251666184262635,0.04605237092888693,0.028720040089039802,0.07368118840210232,23352796.79,2,CA,92020,Existing,"1201 Avocado Ave, El Cajon","Avocado Avenue, El Cajon, San Diego County, California, 92020, United States",32.784119,-116.957733,0.0
16,S0017,2015,0.4381169932735053,0.10013316068942514,0.07877731017106739,0.09769930458964751,0.13366286988164258,0.013389976348732763,0.04085695712174375,0.02823892099530481,0.06912450692893068,31540952.650000002,1,CA,92677,Existing,"30252 Crown Valley Pkwy, Laguna Niguel","Smart & Final - Extra!, 30252, Crown Valley Parkway, Laguna Niguel, Orange County, California, 92677, United States",33.5226931,-117.71438540530852,0.0
17,S0018,2015,0.4528482130752889,0.09882723891589945,0.07901662147073338,0.10606165251220338,0.10902168509239271,0.00931750366199868,0.04302374202622965,0.0349657931584203,0.06691755008683342,24278729.390000004,2,CA,90240,Existing,"10001 Paramount Blvd, Downey","Paramount Boulevard, Downey, California, 90723, United States",33.9295808,-118.1478412,0.0
18,S0019,2015,0.4827126130870872,0.09746628588518987,0.07788116026302677,0.11162444745343571,0.09479953885736081,0.005755300737081222,0.032457670667924286,0.01959281939765591,0.07771016365123838,19682144.369999997,0,CA,92345,Existing,"17390 Main St, Hesperia","Vons, 17390, Main Street, Hesperia, San Bernardino County, California, 92345, United States",34.420361150000005,-117.28329023636412,0.0
19,S0020,2015,0.45877830318251134,0.10714186879798318,0.0778717048351563,0.10846903079801462,0.10910394130421466,0.008394955291334025,0.03815257876502253,0.029436332722554397,0.06265128430320886,23970811.400000002,2,CA,93013,Existing,"850 Linden Ave, Carpinteria","Smart & Final, 850, Linden Avenue, Carpinteria, Santa Barbara County, California, 93013, United States",34.39723895,-119.51884214869266,0.0
20,S0021,2015,0.4328332346005132,0.12218983177961448,0.08645292744130066,0.08619789361651899,0.14800299628432662,0.008950739978453798,0.03657883478341958,0.02816566257617136,0.050627878939681265,21742449.28,1,CA,90403,Existing,"1311 Wilshire Blvd, Santa Monica","Vons 2002, 1311, Wilshire Boulevard, Santa Monica, Los Angeles County, California, 90403, United States",34.02656275,-118.48984071021007,0.0
21,S0022,2015,0.47050343146349843,0.09662836409031343,0.07594843737232274,0.10609859967613937,0.09215284343767631,0.008661283331720065,0.043142140303506965,0.034052737164970294,0.07281216315985267,28489431.709999993,2,CA,92064,Existing,"13438 Poway Rd, Poway","13438, Poway Road, Rayo Del Sol, Ipai Waaypuk, Poway, San Diego County, California, 92064, United States",32.957955350000006,-117.0395528324118,0.0
22,S0023,2015,0.4366467147093356,0.10865150793528365,0.08432242030499881,0.10959789212195957,0.10705071305476893,0.009483910712386277,0.03833570645067821,0.036188992949498726,0.06972214176109036,17688112.54,1,CA,92649,Existing,"5922 Edinger Ave, Huntington Beach","Vons 2090, 5922, Edinger Avenue, Huntington Beach, Orange County, California, 92649, United States",33.728573749999995,-118.0249530908626,0.0
23,S0024,2015,0.45511040875862396,0.10400528926427452,0.08214125767276292,0.1048358749805166,0.11049811128051464,0.005391508238634095,0.041130919778285514,0.022954685390535606,0.0739319446358521,24523501.43,2,CA,90603,Existing,"15740 La Forge St, Whittier","La Forge Street, East Whittier, Whittier, California, 90605, United States",33.9535757,-118.027443,0.0
24,S0025,2015,0.4620417389073531,0.10467268443724026,0.07962882908826155,0.10494411459771733,0.11170564267995903,0.005304030594583132,0.04228257772746559,0.030706471402929588,0.058713910564490435,31318921.91,2,CA,92865,Existing,"2684 N Tustin St, Orange","Vons, 2684, North Tustin Street, Orange, Orange County, California, 92865, United States",33.8333449,-117.8375215340671,0.0
25,S0026,2015,0.4576691236563833,0.10538848973061903,0.07842366540799411,0.09988349303223375,0.11366481264009518,0.008333773029467422,0.037657889662654855,0.030563965245641565,0.06841478759491071,21220147.150000002,1,CA,91020,Existing,"2039 Verdugo Blvd, Montrose","Montrose Heathcare Center, 2123, Verdugo Boulevard, Glendale, California, 91020, United States",34.2052742,-118.22384949779095,0.0
26,S0027,2015,0.4466847306841612,0.10403011679242691,0.07764256471941336,0.09939018748029688,0.13224450173456703,0.01625443459957255,0.029722833208242868,0.023370460815232037,0.07066016996608723,26550184.65,1,CA,90265,Existing,"29211 Heathercliff Rd, Malibu","Pavilions, 29211, Heathercliff Road, Malibu, California, 90265, United States",34.02085755,-118.8103520922804,0.0
27,S0028,2015,0.45298059940100005,0.10323747230879572,0.07896146086851163,0.11914371309465793,0.11652894939572064,0.0035318278110410117,0.037298052756270635,0.030145778856899293,0.05817214550710296,17311101.580000002,2,CA,91321,Existing,"24160 Lyons Ave, Newhall","Lyons Avenue, Newhall, Santa Clarita, California, 91321, United States",34.3796543,-118.5439107,0.0
28,S0029,2015,0.4412639502065245,0.09942494972926254,0.07296093179734937,0.1315448983357089,0.09919251424247078,0.006219581478067799,0.042865390355421584,0.017821688286522225,0.08870609556867225,33606658.38,0,CA,93534,Existing,"2058 W Avenue J, Lancaster","West Avenue J, Lancaster, Los Angeles County, California, 93536, United States",34.6894799,-118.173468,0.0
29,S0030,2015,0.4405205049248671,0.10938638966938431,0.07079624508252587,0.11138381818525525,0.1163043079242233,0.00830499168187675,0.04807209442805362,0.030570038331060284,0.06466160977275352,25497338.0,2,CA,92545,Existing,"3125 W Florida Ave, Hemet","West Florida Avenue, Hemet, Riverside County, California, 92543, United States",33.746203,-117.0125896,0.0
30,S0031,2015,0.45593095269204076,0.10300462272572422,0.07770754555753648,0.11289678903610104,0.08800097001113702,0.00628855550312096,0.038720002184503916,0.0203314907339554,0.0971190715558803,29269437.139999997,0,CA,92532,Existing,"31564 Grape St, Lake Elsinore","31564, Grape Street, Lake Elsinore, Riverside County, California, 92532, United States",33.66065365,-117.29350672357143,0.0
31,S0032,2015,0.44856265671377166,0.0942288805740419,0.07322688569639593,0.1157467232701644,0.09649208846901959,0.0065092854363958145,0.04000961613247332,0.02347436699522055,0.10174949671251672,24165557.270000003,0,CA,91351,Existing,"16550 Soledad Canyon Rd, Santa Clarita","16550, Soledad Canyon Road, Humphreys, Santa Clarita, Los Angeles County, California, 91350, United States",34.419764047848936,-118.43743090089113,0.0
32,S0033,2015,0.43885898472482404,0.10183725057284689,0.07985126676409697,0.11881945163265978,0.11319372632766941,0.009002928362308593,0.04080852687017655,0.028011000838420543,0.06961686390699726,32960487.75,2,CA,90720,Existing,"11322 Los Alamitos Blvd, Los Alamitos","Vons, 11322, Los Alamitos Boulevard, Los Alamitos, Orange County, California, 90720, United States",33.797888799999996,-118.07074299641324,0.0
33,S0034,2015,0.43693782315778945,0.10366943968022688,0.08252836613552632,0.109581219977518,0.11468947741148236,0.011673127372112459,0.04421267789966235,0.029053702721616847,0.06765416564406518,31050056.120000005,1,CA,93023,Existing,"1125 Maricopa Hwy, Ojai","Vons 2430, 1125, Maricopa Highway, Matilija, Ojai, Ventura County, California, 93023, United States",34.441281200000006,-119.2624249148299,0.0
34,S0035,2015,0.4642325028966695,0.10108327979368409,0.07886021935667221,0.12216066385657365,0.08796640590634391,0.007241082956149339,0.040421161451223625,0.029266201861918556,0.06876848192076523,18365221.169999998,2,CA,91786,Existing,"81 W Foothill Blvd, Upland",,,,
35,S0036,2015,0.4944583807607634,0.09468007800896684,0.08034179942217144,0.10070383303330004,0.09808692123302166,0.005817311515219176,0.030578391545801487,0.01588227301826349,0.07945101146249245,17827104.45,0,CA,92399,Existing,"33644 Yucaipa Blvd, Yucaipa","Vons 1796, 33644, Yucaipa Boulevard, Yucaipa, San Bernardino County, California, 92399, United States",34.03545795,-117.07009243469423,0.0
36,S0037,2015,0.431724572510807,0.09782224998733713,0.07704218935006295,0.10812977482196341,0.11385150310607596,0.00819292469640003,0.03982886530318701,0.020308766384195428,0.10309915383997105,31286950.57,0,CA,92130,Existing,"4627 Carmel Mountain Rd, San Diego","Vons 1797, 4627, Carmel Mountain Road, San Diego, San Diego County, California, 92130, United States",32.9202827,-117.21503617778123,0.0
37,S0038,2015,0.4421593384908078,0.10795765952275661,0.08308232115653123,0.11893372419157935,0.10523583958194657,0.0075169289443992255,0.037938274586535634,0.028777371110851754,0.06839854241459181,20632448.59,2,CA,93063,Existing,"5805 E Los Angeles Ave, Simi Valley","Vons, 5805, East Los Angeles Avenue, Corriganville, Simi Valley, Ventura County, California, 93063, United States",34.2731134,-118.6776719,0.0
38,S0039,2015,0.45266271314156775,0.1090189741014548,0.07402242778969148,0.13761896342393262,0.07394848480407863,0.006903286839067372,0.03552706167332096,0.047304474986261634,0.06299361324062484,21361323.009999998,2,CA,90731,Existing,"1221 S Gaffey St, San Pedro","Vons 2283, 1221, South Gaffey Street, San Pedro, Los Angeles, California, 90731-4720, United States",33.73293805,-118.29358869086752,0.0
39,S0040,2015,0.4341256405601843,0.09932772388513776,0.07531756620521483,0.12881853164443932,0.12269852361928334,0.008090044656465286,0.039543416944443174,0.018911309466192086,0.07316724301863992,37025722.69,0,CA,90807,Existing,"4550 Atlantic Ave, Long Beach","Vons 3519, 4550, Atlantic Avenue, Bixby Knolls, Long Beach, California, 90807, United States",33.84099195,-118.1827914335705,0.0
40,S0041,2015,0.4620203447577749,0.1058563177858393,0.08261597806071522,0.10273503064675522,0.0950757307712221,0.006838949426815354,0.04991097240058872,0.02791897489839477,0.06702770125189415,25267518.330000006,2,CA,90670,Existing,"12801 Excelsior Dr, Santa Fe Springs","12801, Excelsior Drive, Santa Fe Springs, California, 90670, United States",33.89664715,-118.06119866619554,0.0
